127.0.0.1 - - [15/Dec/2024:20:03:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:04:00 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:04:00 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:07 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:07 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:07 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:08 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:08 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:05:15 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:37 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:37 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:38 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:38 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:38 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:38 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:38 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:39 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:39 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:39 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:06:40 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:08:06 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:08:17 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:08:17 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:08:29 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:08:41 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:11:59 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:11:59 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:29:59 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:29:59 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 304 -
