127.0.0.1 - - [26/Dec/2024:09:49:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:49:20 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:49:20 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:04 +0530] "POST /E_Commerce_Website/AddToCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:04 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:12 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:12 +0530] "GET /E_Commerce_Website/CSS/cart-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:22 +0530] "POST /E_Commerce_Website/updatequantity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:22 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:29 +0530] "GET /E_Commerce_Website/wishlist.jsp HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:29 +0530] "GET /E_Commerce_Website/CSS/wishlist-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:35 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:54 +0530] "GET /E_Commerce_Website/wishlist.jsp HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:58 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:50:59 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:26 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 4392
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/images/adv2.jpg HTTP/1.1" 200 154011
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:27 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 200 121658
0:0:0:0:0:0:0:1 - - [26/Dec/2024:09:58:30 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:08 +0530] "POST /E_Commerce_Website/AddToWishlistServlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:11 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:14 +0530] "POST /E_Commerce_Website/AddToWishlistServlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:19 +0530] "GET /E_Commerce_Website/index.jsp HTTP/1.1" 200 14717
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:22 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:33 +0530] "POST /E_Commerce_Website/updatequantity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:33 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:38 +0530] "POST /E_Commerce_Website/updatequantity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:38 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:46 +0530] "GET /E_Commerce_Website/wishlist.jsp HTTP/1.1" 200 4274
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:56 +0530] "POST /E_Commerce_Website/wishlistTocart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:02:56 +0530] "GET /E_Commerce_Website/cart.jsp HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [26/Dec/2024:10:03:02 +0530] "GET /E_Commerce_Website/wishlist.jsp HTTP/1.1" 200 3277
