0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:22:39 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:22:39 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:22:47 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:45 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:46 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:23:46 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:01 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:01 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:02 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:02 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:02 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:04 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:35 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:35 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:36 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:37 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:37 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:24:52 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:03 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:03 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:04 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:04 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:05 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:05 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:10 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:10 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:10 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:10 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:11 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:11 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:11 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:11 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:14 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:29 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:29 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:30 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:30 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:30 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:30 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:32 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:51 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:25:54 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:00 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:00 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:00 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:00 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:03 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:03 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:03 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:26:04 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:43 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:43 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:27:43 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
