127.0.0.1 - - [25/Dec/2024:15:04:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/images/adv2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:04:59 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 200 121658
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:55 +0530] "GET /E_Commerce_Website/images/adv2.jpg HTTP/1.1" 200 154011
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:07:58 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/images/adv2.jpg HTTP/1.1" 200 154011
0:0:0:0:0:0:0:1 - - [25/Dec/2024:15:08:02 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 200 121658
