127.0.0.1 - - [18/Dec/2024:10:47:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:26 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:45 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:46 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:47 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:52 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/images/banner3.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/images/banner1.jpg HTTP/1.1" 200 53802
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/images/banner2.jpg HTTP/1.1" 200 70581
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:53 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:54 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:54 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [18/Dec/2024:10:47:54 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
